Gene	BaseGeneMean	OutlierFactor	GeneMean	DEFacGroup1	GeneMeanGroup1	DEFacGroup2	GeneMeanGroup2	DEFacGroup3	GeneMeanGroup3	DEFacGroup4	GeneMeanGroup4
Gene1	3.5927711305224896	1	3.5927711305224896	1	3.5927711305224896	1	3.5927711305224896	1	3.5927711305224896	5.668910265984442	20.367097145151472
Gene2	1.5793920904471994	1	1.5793920904471994	1	1.5793920904471994	1	1.5793920904471994	1	1.5793920904471994	1	1.5793920904471994
Gene3	15.559645082987052	1	15.559645082987052	0.8539561299254808	13.287254298081658	1	15.559645082987052	2.980971587299705	46.38285990085196	1	15.559645082987052
Gene4	0.7700585217885217	1	0.7700585217885217	0.2384985587420083	0.18365784759356382	1	0.7700585217885217	5.8057134796318035	4.470739140052961	1	0.7700585217885217
Gene5	0.14652596131724388	1	0.14652596131724388	1.1903903179623927	0.1744230856821792	1	0.14652596131724388	1	0.14652596131724388	1	0.14652596131724388
Gene6	2.1016181395185805	1	2.1016181395185805	1	2.1016181395185805	1	2.1016181395185805	1	2.1016181395185805	1	2.1016181395185805
Gene7	1.880375005297332	1	1.880375005297332	1	1.880375005297332	1	1.880375005297332	1	1.880375005297332	1	1.880375005297332
Gene8	0.02374204243324929	1	0.02374204243324929	1	0.02374204243324929	1	0.02374204243324929	1	0.02374204243324929	1	0.02374204243324929
Gene9	0.5350407612477355	1	0.5350407612477355	1	0.5350407612477355	1	0.5350407612477355	6.084021151929783	3.2551993085758357	1.4335529661820183	0.7670092703149762
Gene10	0.49056961729792736	1	0.49056961729792736	1	0.49056961729792736	1	0.49056961729792736	1	0.49056961729792736	1	0.49056961729792736
Gene11	0.044378946126083986	1	0.044378946126083986	1	0.044378946126083986	1	0.044378946126083986	1	0.044378946126083986	1	0.044378946126083986
Gene12	7.350009202548024	40.940518237223735	42.347494402163335	1	42.347494402163335	1	42.347494402163335	1	42.347494402163335	1	42.347494402163335
Gene13	3.7197150630038065	1	3.7197150630038065	1	3.7197150630038065	1	3.7197150630038065	1	3.7197150630038065	1	3.7197150630038065
Gene14	0.016119362833254464	1	0.016119362833254464	1	0.016119362833254464	1	0.016119362833254464	35.13586405543595	0.5663677411694757	1	0.016119362833254464
Gene15	15.463561936228807	1	15.463561936228807	1	15.463561936228807	1	15.463561936228807	1	15.463561936228807	1	15.463561936228807
Gene16	0.8329832141464028	1	0.8329832141464028	1	0.8329832141464028	1	0.8329832141464028	1	0.8329832141464028	1	0.8329832141464028
Gene17	0.04452212619091281	1	0.04452212619091281	2.6331448562287325	0.1172332075679686	1	0.04452212619091281	1	0.04452212619091281	1	0.04452212619091281
Gene18	1.5577147427034241	1	1.5577147427034241	1	1.5577147427034241	1	1.5577147427034241	1	1.5577147427034241	1	1.5577147427034241
