Gene	BaseGeneMean
Gene1	15.070166941865256
Gene2	1.3214264125078057
Gene3	2.6471940552392117
Gene4	0.4314126274103263
Gene5	1.3263294447897767
Gene6	2.6556251736653076
Gene7	1.5087404287107207
Gene8	2.3980012018206116
Gene9	1.174393945899882
Gene10	0.16520007149995963
Gene11	0.6063222399660461
Gene12	1.1567203151084895
Gene13	0.5697996434879279
Gene14	5.910077587592439
Gene15	1.2584703860405693
Gene16	3.7312510321195247
Gene17	3.732506094739015
Gene18	0.9527541186413107
Gene19	0.8299824883603495
Gene20	5.419859401553251
Gene21	0.12596021483220884
Gene22	0.2838042849946762
Gene23	0.19182208419572352
Gene24	3.1676347186761196
Gene25	0.5341929920646847
Gene26	4.869121526664764
Gene27	2.6688329911337663
Gene28	0.8680950634977899
Gene29	1.6676711932219812
Gene30	0.7773442566244723
Gene31	0.13776280782261727
Gene32	1.62467446974602
Gene33	3.408362066133117
Gene34	0.1551462319196136
Gene35	1.3693638794774319
Gene36	6.539464980895205
Gene37	0.9702595159605595
Gene38	4.936128580990508e-4
Gene39	1.4130366607242324
Gene40	7.1535748703456825
Gene41	0.8945476522623658
Gene42	0.5154778965230534
Gene43	5.282330848092755
Gene44	3.53610188530163
Gene45	5.439591965553024
Gene46	0.5049124358836893
Gene47	1.4218930614187446
Gene48	0.3595905853302735
Gene49	5.119043134371494
Gene50	0.2502446473365546
Gene51	0.006118641284641165
Gene52	0.012327696958109266
Gene53	2.270533237587709
Gene54	0.2277377522940588
Gene55	0.24543799611272676
Gene56	1.0140785160835557
Gene57	3.2974078405543414
Gene58	3.1500104445427897
Gene59	0.7890490693371935
Gene60	6.322817718066329
Gene61	0.418082717549265
Gene62	2.034700826504123
Gene63	2.440291341133348
Gene64	0.002391602636955899
Gene65	0.6029098216167582
Gene66	3.3016014257423305
Gene67	0.7482611461409928
Gene68	0.12812044564547306
Gene69	0.35066175036892044
Gene70	0.1516936710876119
Gene71	0.009882651695215254
Gene72	0.31386242457573105
Gene73	0.29994401190711634
Gene74	1.4015772692111752
Gene75	1.2497823102933978
Gene76	0.5632321953622131
Gene77	1.6801835300877066
Gene78	0.2984888953070142
Gene79	1.180053288644517
Gene80	3.496870702720702
Gene81	3.031213248293015
Gene82	2.4544117966947323
Gene83	0.6426568584477319
Gene84	2.118998746932126
Gene85	5.998968724366211
Gene86	0.6370660786673482
Gene87	4.878501798012513
Gene88	4.236375736446719
Gene89	2.284970524462676
Gene90	0.9048320211852259
Gene91	3.328864243871868
Gene92	5.99485292531768
Gene93	0.5110956753927606
Gene94	0.667408242586006
Gene95	0.4217533489766145
Gene96	13.667521456964762
Gene97	12.94918139728537
Gene98	2.7655551566988636
Gene99	0.026034366925850677
Gene100	8.41958370917556
Gene101	0.629002401311236
Gene102	0.3984773552739324
Gene103	6.648385010819624
Gene104	0.52025440038014
Gene105	0.6041210844214472
Gene106	1.2171295700541882
Gene107	2.1725070518596286
Gene108	0.8655766682126647
Gene109	0.20528408017518773
Gene110	0.2871928791336786
Gene111	0.6272521086349571
Gene112	0.20938989155484852
Gene113	1.1982525476674017
Gene114	2.161009771439923
Gene115	0.2108280997361641
Gene116	5.490780408446104
Gene117	7.901244927017148
Gene118	1.6497365669481299
Gene119	4.764385944692947
Gene120	0.23214880715569838
Gene121	1.826709920091376
Gene122	2.222420903422962
Gene123	0.28732215327512833
Gene124	0.3270285059720184
Gene125	0.028345690324059893
Gene126	0.6385121429116922
Gene127	0.45777438372310086
Gene128	3.564006959063369
Gene129	0.22257284891712545
Gene130	3.06866579942385
Gene131	0.010164450289338305
Gene132	2.2159808283796263
Gene133	0.18777347338931308
Gene134	0.15308684636813338
Gene135	5.029457080816111
Gene136	0.19252884382655167
Gene137	4.817288261266247
Gene138	1.3571315484166406
Gene139	0.9551584585099973
Gene140	6.358966828719138
Gene141	0.04758510724490084
Gene142	0.5387642785968534
Gene143	0.40903272802201124
Gene144	0.9046274593654208
Gene145	2.5300499331280255
Gene146	0.007103927806247059
Gene147	0.06617422376829078
Gene148	1.1814835278920117
Gene149	0.00730382422326564
Gene150	4.523440167023822
Gene151	5.0714787992616595
Gene152	0.058381702597344695
Gene153	9.849902477078747e-4
Gene154	2.2714248681125615
Gene155	2.8062016343972034
Gene156	0.005019413599753972
Gene157	1.1414874803343211
Gene158	7.98467666157701
Gene159	4.750130376606671
Gene160	0.41449314009314947
Gene161	0.15629966419234909
Gene162	2.0033323934363065
Gene163	1.9133958051043465
Gene164	1.8693826892142416
Gene165	4.264060971136903
Gene166	0.9041637960610055
Gene167	1.7028366821036134
Gene168	0.11251934733987087
Gene169	1.9744619054281058
Gene170	0.7657225174288028
Gene171	2.9666842911519877
Gene172	2.5384890421122717
Gene173	0.03553526322132183
Gene174	0.17140160127119666
Gene175	0.5375172760119603
Gene176	1.1957388264762312
Gene177	2.233141923375682
Gene178	5.910669733366996
Gene179	19.45900667463009
Gene180	3.4749784094647818
Gene181	1.813842633144611
Gene182	3.875603753958344
Gene183	0.36373824951414807
Gene184	0.15860239608952753
Gene185	1.5602047184804921
Gene186	4.6993917033637205
Gene187	8.789618789385647
Gene188	0.7302572334579468
Gene189	7.049027042557773
Gene190	0.8125960912689993
Gene191	0.43486651275110694
Gene192	0.0038062829718254923
Gene193	0.13273796373459007
Gene194	0.5723144816254031
Gene195	0.46429625203852326
Gene196	4.781896261324305
Gene197	0.0562914344264723
Gene198	3.982487795926734
Gene199	0.05075770320152484
Gene200	1.329913146761545
